Copacabana,1400,100,2023-08-01
Ipanema,800,50,2023-08-01
Leblon,950,75,2023-08-01
Santa Teresa,300,15,2023-08-01
Lapa,600,30,2023-08-01
Botafogo,1100,90,2023-08-01
Flamengo,750,40,2023-08-01
Tijuca,980,65,2023-08-01
Barra da Tijuca,2000,120,2023-08-01
Centro,500,25,2023-08-01
Gávea,620,50,2023-08-01
Maracanã,550,35,2023-08-01
Laranjeiras,480,30,2023-08-01
Glória,420,25,2023-08-01
Jacarepaguá,1400,80,2023-08-01
Leme,330,20,2023-08-01
Méier,710,45,2023-08-01
Santa Cruz,890,70,2023-08-01
Irajá,960,55,2023-08-01
Vila Isabel,580,40,2023-08-01
